Ranked by realized PnL:
pnl=+937.56  fees=202.21  windows=718  kelly_fraction=0.05, min_edge_to_trade=0.05, uncertainty_buffer_base=0.05  kill_switch_trips=5 [KILL SWITCH ACTIVE AT END]
pnl=+736.47  fees=141.09  windows=718  kelly_fraction=0.1, min_edge_to_trade=0.05, uncertainty_buffer_base=0.08  kill_switch_trips=6 [KILL SWITCH ACTIVE AT END]
pnl=+710.93  fees=154.04  windows=718  kelly_fraction=0.1, min_edge_to_trade=0.05, uncertainty_buffer_base=0.05  kill_switch_trips=6 [KILL SWITCH ACTIVE AT END]
pnl=+691.92  fees=147.94  windows=718  kelly_fraction=0.05, min_edge_to_trade=0.05, uncertainty_buffer_base=0.08  kill_switch_trips=5 [KILL SWITCH ACTIVE AT END]
pnl=+672.21  fees=203.42  windows=718  kelly_fraction=0.02, min_edge_to_trade=0.02, uncertainty_buffer_base=0.05  kill_switch_trips=6 [KILL SWITCH ACTIVE AT END]
pnl=+571.41  fees=163.15  windows=718  kelly_fraction=0.05, min_edge_to_trade=0.02, uncertainty_buffer_base=0.05  kill_switch_trips=6 [KILL SWITCH ACTIVE AT END]
pnl=+569.34  fees=154.65  windows=718  kelly_fraction=0.02, min_edge_to_trade=0.05, uncertainty_buffer_base=0.08  kill_switch_trips=4 [KILL SWITCH ACTIVE AT END]
pnl=+567.11  fees=177.86  windows=718  kelly_fraction=0.02, min_edge_to_trade=0.01, uncertainty_buffer_base=0.05  kill_switch_trips=5 [KILL SWITCH ACTIVE AT END]
pnl=+538.57  fees=175.98  windows=718  kelly_fraction=0.05, min_edge_to_trade=0.02, uncertainty_buffer_base=0.08  kill_switch_trips=6 [KILL SWITCH ACTIVE AT END]
pnl=+510.67  fees=125.46  windows=718  kelly_fraction=0.1, min_edge_to_trade=0.02, uncertainty_buffer_base=0.05  kill_switch_trips=6 [KILL SWITCH ACTIVE AT END]
pnl=+402.22  fees=125.83  windows=718  kelly_fraction=0.1, min_edge_to_trade=0.01, uncertainty_buffer_base=0.08  kill_switch_trips=7 [KILL SWITCH ACTIVE AT END]
pnl=+380.03  fees=167.05  windows=718  kelly_fraction=0.02, min_edge_to_trade=0.01, uncertainty_buffer_base=0.08  kill_switch_trips=5 [KILL SWITCH ACTIVE AT END]
pnl=+364.42  fees=128.64  windows=718  kelly_fraction=0.05, min_edge_to_trade=0.01, uncertainty_buffer_base=0.08  kill_switch_trips=7 [KILL SWITCH ACTIVE AT END]
pnl=+332.62  fees=143.46  windows=718  kelly_fraction=0.02, min_edge_to_trade=0.02, uncertainty_buffer_base=0.08  kill_switch_trips=6 [KILL SWITCH ACTIVE AT END]
pnl=+319.21  fees=142.71  windows=718  kelly_fraction=0.05, min_edge_to_trade=0.05, uncertainty_buffer_base=0.02  kill_switch_trips=7 [KILL SWITCH ACTIVE AT END]
pnl=+313.35  fees=142.73  windows=718  kelly_fraction=0.02, min_edge_to_trade=0.05, uncertainty_buffer_base=0.02  kill_switch_trips=7 [KILL SWITCH ACTIVE AT END]
pnl=+263.05  fees=102.38  windows=718  kelly_fraction=0.1, min_edge_to_trade=0.02, uncertainty_buffer_base=0.08  kill_switch_trips=8 [KILL SWITCH ACTIVE AT END]
pnl=+239.61  fees=153.83  windows=718  kelly_fraction=0.02, min_edge_to_trade=0.05, uncertainty_buffer_base=0.05  kill_switch_trips=7 [KILL SWITCH ACTIVE AT END]
pnl=+68.90  fees=182.99  windows=718  kelly_fraction=0.02, min_edge_to_trade=0.01, uncertainty_buffer_base=0.02  kill_switch_trips=7 [KILL SWITCH ACTIVE AT END]
pnl=+51.00  fees=145.22  windows=718  kelly_fraction=0.02, min_edge_to_trade=0.02, uncertainty_buffer_base=0.02  kill_switch_trips=9 [KILL SWITCH ACTIVE AT END]
pnl=-96.18  fees=94.18  windows=718  kelly_fraction=0.1, min_edge_to_trade=0.05, uncertainty_buffer_base=0.02  kill_switch_trips=8 [KILL SWITCH ACTIVE AT END]
pnl=-106.81  fees=90.04  windows=718  kelly_fraction=0.05, min_edge_to_trade=0.01, uncertainty_buffer_base=0.05  kill_switch_trips=8 [KILL SWITCH ACTIVE AT END]
pnl=-120.86  fees=104.09  windows=718  kelly_fraction=0.1, min_edge_to_trade=0.02, uncertainty_buffer_base=0.02  kill_switch_trips=8 [KILL SWITCH ACTIVE AT END]
pnl=-156.25  fees=108.69  windows=718  kelly_fraction=0.05, min_edge_to_trade=0.01, uncertainty_buffer_base=0.02  kill_switch_trips=8 [KILL SWITCH ACTIVE AT END]
pnl=-168.72  fees=97.32  windows=718  kelly_fraction=0.05, min_edge_to_trade=0.02, uncertainty_buffer_base=0.02  kill_switch_trips=9 [KILL SWITCH ACTIVE AT END]
pnl=-191.51  fees=77.42  windows=718  kelly_fraction=0.1, min_edge_to_trade=0.01, uncertainty_buffer_base=0.05  kill_switch_trips=9 [KILL SWITCH ACTIVE AT END]
pnl=-195.74  fees=106.36  windows=718  kelly_fraction=0.1, min_edge_to_trade=0.01, uncertainty_buffer_base=0.02  kill_switch_trips=8 [KILL SWITCH ACTIVE AT END]
(.venv) tobiashartana@Adiciptas-MacBook-Air-4 Poly15min02 % 
